Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SubwayBrain,0.535,6.418,5.004,10255,-0.148
SubwayBrain,0.395,11.910,4.681,10250,-0.143
SubwayBrain,0.390,17.456,4.727,10270,-0.136
SubwayBrain,0.372,23.098,4.850,10260,-0.129
SubwayBrain,0.386,28.663,4.797,10260,-0.127
SubwayBrain,0.373,34.274,4.832,10248,-0.124
SubwayBrain,0.377,39.931,4.859,10241,-0.119
SubwayBrain,0.380,45.618,4.840,10247,-0.110
SubwayBrain,0.380,51.402,4.916,10247,-0.102
SubwayBrain,0.374,57.210,4.979,10242,-0.093
SubwayBrain,0.377,63.055,5.026,10254,-0.083
SubwayBrain,0.372,68.724,4.872,10241,-0.071
SubwayBrain,0.375,74.431,4.914,10275,-0.062
SubwayBrain,0.376,80.130,4.904,10251,-0.048
SubwayBrain,0.375,85.721,4.795,10252,-0.035
SubwayBrain,0.373,91.276,4.780,10263,-0.020
SubwayBrain,0.372,96.858,4.781,10264,-0.004
SubwayBrain,0.375,102.472,4.825,10258,0.017
SubwayBrain,0.371,108.045,4.771,10255,0.038
SubwayBrain,0.377,113.541,4.719,10264,0.063
SubwayBrain,0.378,119.126,4.801,10266,0.088
SubwayBrain,0.376,124.702,4.764,10278,0.112
SubwayBrain,0.370,130.243,4.762,10249,0.138
SubwayBrain,0.371,135.798,4.774,10262,0.165
SubwayBrain,0.376,141.391,4.790,10256,0.191
SubwayBrain,0.377,146.980,4.806,10253,0.216
SubwayBrain,0.372,152.576,4.809,10254,0.240
SubwayBrain,0.376,158.218,4.858,10257,0.263
SubwayBrain,0.371,163.800,4.826,10267,0.285
SubwayBrain,0.372,169.403,4.808,10241,0.305
SubwayBrain,0.374,175.056,4.849,10273,0.326
SubwayBrain,0.372,180.693,4.818,10246,0.345
SubwayBrain,0.369,186.326,4.857,10241,0.363
SubwayBrain,0.370,191.955,4.854,10263,0.380
SubwayBrain,0.369,197.822,5.042,10250,0.396
SubwayBrain,0.375,203.453,4.819,10246,0.412
SubwayBrain,0.371,209.160,4.932,10252,0.427
SubwayBrain,0.381,214.828,4.885,10254,0.442
SubwayBrain,0.376,220.561,4.910,10292,0.455
SubwayBrain,0.380,226.187,4.819,10253,0.468
SubwayBrain,0.375,231.862,4.831,10251,0.481
SubwayBrain,0.370,237.546,4.881,10245,0.493
SubwayBrain,0.372,243.177,4.846,10251,0.504
SubwayBrain,0.369,248.869,4.887,10242,0.515
SubwayBrain,0.372,254.528,4.870,10261,0.525
SubwayBrain,0.370,260.205,4.903,10248,0.535
SubwayBrain,0.378,265.882,4.891,10247,0.545
SubwayBrain,0.372,271.511,4.831,10254,0.554
SubwayBrain,0.370,277.219,4.926,10257,0.563
SubwayBrain,0.370,282.898,4.867,10291,0.571
SubwayBrain,0.371,288.591,4.881,10243,0.579
SubwayBrain,0.373,294.261,4.860,10241,0.587
SubwayBrain,0.375,299.930,4.873,10251,0.594
SubwayBrain,0.371,305.624,4.919,10244,0.601
