Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.960,11.557,9.411,10271,-0.330
AgentBrain,0.735,20.815,8.057,10290,-0.351
AgentBrain,0.776,30.819,8.737,10269,-0.372
AgentBrain,0.713,40.192,8.191,10291,-0.381
AgentBrain,0.762,49.741,8.315,10284,-0.378
AgentBrain,0.724,59.284,8.363,10296,-0.374
AgentBrain,0.748,68.869,8.371,10242,-0.365
AgentBrain,0.745,78.247,8.175,10328,-0.350
AgentBrain,0.737,87.809,8.355,10268,-0.338
AgentBrain,0.781,97.834,8.751,10250,-0.335
AgentBrain,0.766,107.851,8.761,10268,-0.317
AgentBrain,0.738,117.576,8.518,10268,-0.295
AgentBrain,0.732,128.303,9.475,10275,-0.263
AgentBrain,0.769,138.358,8.799,10300,-0.234
AgentBrain,0.731,148.725,9.147,10287,-0.204
AgentBrain,0.739,159.052,9.102,10270,-0.196
AgentBrain,0.741,168.569,8.309,10261,-0.195
AgentBrain,0.726,179.063,9.269,10247,-0.191
AgentBrain,0.741,189.362,9.068,10292,-0.187
AgentBrain,0.737,199.667,9.092,10254,-0.184
AgentBrain,0.774,210.022,9.081,10241,-0.178
AgentBrain,0.741,220.331,9.090,10306,-0.165
AgentBrain,0.755,230.686,9.108,10246,-0.156
AgentBrain,0.737,240.762,8.869,10244,-0.147
AgentBrain,0.755,251.184,9.148,10261,-0.138
AgentBrain,0.764,261.395,8.946,10244,-0.122
AgentBrain,0.737,272.040,9.392,10257,-0.110
AgentBrain,0.765,282.655,9.334,10291,-0.101
AgentBrain,0.803,292.965,9.011,10295,-0.095
AgentBrain,0.742,303.457,9.239,10310,-0.083
AgentBrain,0.764,314.197,9.463,10244,-0.073
AgentBrain,0.755,324.707,9.237,10249,-0.063
AgentBrain,0.734,335.410,9.455,10288,-0.056
AgentBrain,0.794,346.235,9.501,10262,-0.047
AgentBrain,0.829,356.578,9.016,10272,-0.042
AgentBrain,0.806,367.849,9.894,10283,-0.036
AgentBrain,0.771,378.463,9.312,10259,-0.025
AgentBrain,0.809,389.418,9.627,10360,-0.017
AgentBrain,0.866,400.010,9.218,10245,-0.008
AgentBrain,0.887,411.033,9.602,10246,-0.001
AgentBrain,0.788,421.373,9.049,10263,0.008
AgentBrain,0.757,431.877,9.238,10277,0.019
AgentBrain,0.755,442.810,9.654,10368,0.027
AgentBrain,0.801,453.363,9.240,10250,0.037
AgentBrain,0.749,464.117,9.492,10252,0.043
AgentBrain,0.755,474.047,8.697,10248,0.053
AgentBrain,0.754,484.507,9.206,10241,0.062
AgentBrain,0.770,494.838,9.068,10246,0.071
AgentBrain,0.751,505.267,9.181,10340,0.080
AgentBrain,0.762,515.632,9.098,10268,0.089
AgentBrain,0.804,526.149,9.198,10257,0.097
AgentBrain,0.759,536.602,9.189,10279,0.107
AgentBrain,0.828,546.999,9.072,10286,0.116
AgentBrain,0.769,557.214,8.950,10282,0.124
AgentBrain,0.753,567.347,8.887,10255,0.134
AgentBrain,0.759,577.880,9.262,10273,0.141
AgentBrain,0.752,588.186,9.044,10247,0.152
AgentBrain,0.754,598.712,9.268,10258,0.163
AgentBrain,0.774,609.104,9.104,10247,0.172
AgentBrain,0.800,619.618,9.213,10362,0.180
AgentBrain,0.760,630.050,9.162,10254,0.189
AgentBrain,0.849,640.528,9.124,10308,0.197
AgentBrain,0.772,651.042,9.234,10272,0.206
AgentBrain,0.770,662.063,9.714,10263,0.213
AgentBrain,0.811,673.441,9.978,10256,0.220
AgentBrain,0.795,683.695,8.958,10247,0.228
AgentBrain,0.770,694.483,9.484,10243,0.237
AgentBrain,0.859,704.798,8.951,10260,0.244
AgentBrain,0.833,716.277,10.069,10265,0.251
AgentBrain,0.793,727.140,9.528,10248,0.258
AgentBrain,0.761,737.226,8.838,10267,0.265
AgentBrain,0.840,748.010,9.424,10257,0.271
AgentBrain,0.760,758.390,9.102,10242,0.278
AgentBrain,0.768,768.868,9.197,10274,0.284
AgentBrain,0.756,779.023,8.895,10251,0.290
AgentBrain,0.856,789.419,9.034,10307,0.296
AgentBrain,0.733,799.704,9.048,10250,0.303
AgentBrain,0.966,810.627,9.440,10263,0.310
AgentBrain,0.923,821.609,9.522,10266,0.315
