Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.905,11.656,9.400,10299,-0.848
AgentBrain,0.608,19.809,7.056,10341,-0.801
AgentBrain,0.612,28.407,7.477,10260,-0.652
AgentBrain,0.635,36.466,6.937,10278,-0.476
AgentBrain,0.638,46.524,8.811,10289,-0.337
AgentBrain,0.644,55.295,7.618,10303,-0.198
AgentBrain,0.675,63.965,7.475,10336,-0.079
AgentBrain,0.843,73.197,7.854,10274,-0.001
AgentBrain,0.624,82.636,8.248,10243,0.067
AgentBrain,0.641,91.355,7.558,10265,0.135
AgentBrain,0.630,99.491,7.017,10259,0.178
AgentBrain,0.654,108.183,7.530,10244,0.236
AgentBrain,0.607,116.880,7.566,10296,0.291
AgentBrain,0.626,125.371,7.352,10283,0.345
AgentBrain,0.620,133.644,7.150,10267,0.390
AgentBrain,0.612,142.209,7.422,10257,0.431
AgentBrain,0.608,150.907,7.554,10273,0.460
AgentBrain,0.608,159.556,7.501,10241,0.484
AgentBrain,0.623,168.179,7.492,10255,0.507
AgentBrain,0.628,176.900,7.549,10253,0.528
AgentBrain,0.608,185.733,7.695,10255,0.547
AgentBrain,0.611,194.583,7.682,10295,0.563
AgentBrain,0.605,202.449,6.859,10323,0.571
AgentBrain,0.607,208.788,5.462,10303,0.569
AgentBrain,0.609,215.284,5.605,10254,0.572
AgentBrain,0.601,221.903,5.716,10263,0.574
AgentBrain,0.616,228.338,5.537,10277,0.574
AgentBrain,0.611,234.982,5.749,10369,0.575
AgentBrain,0.606,241.584,5.706,10320,0.576
AgentBrain,0.608,249.023,6.511,10273,0.579
AgentBrain,0.614,255.654,5.717,10286,0.580
AgentBrain,0.601,262.280,5.750,10274,0.583
AgentBrain,0.716,268.810,5.528,10251,0.582
AgentBrain,0.630,275.930,6.177,10269,0.584
AgentBrain,0.616,282.838,5.981,10304,0.585
AgentBrain,0.596,289.465,5.742,10270,0.586
AgentBrain,0.597,296.012,5.664,10432,0.588
AgentBrain,0.595,302.393,5.506,10287,0.590
AgentBrain,0.651,309.129,5.779,10373,0.591
AgentBrain,0.637,315.997,5.923,10241,0.593
AgentBrain,0.642,322.848,5.927,10265,0.593
AgentBrain,0.622,329.306,5.561,10242,0.594
AgentBrain,0.609,336.347,6.111,10381,0.595
AgentBrain,0.746,343.290,5.886,10313,0.595
AgentBrain,0.654,350.154,5.932,10261,0.595
AgentBrain,0.656,356.823,5.732,10254,0.596
AgentBrain,0.635,363.840,6.077,10291,0.598
AgentBrain,0.611,370.627,5.861,10302,0.599
AgentBrain,0.623,377.524,5.985,10280,0.600
AgentBrain,0.615,384.262,5.835,10247,0.600
AgentBrain,0.629,391.109,5.912,10301,0.601
AgentBrain,0.626,397.744,5.704,10243,0.602
AgentBrain,0.655,404.485,5.794,10284,0.604
AgentBrain,0.621,411.217,5.826,10276,0.605
AgentBrain,0.608,417.824,5.705,10247,0.606
AgentBrain,0.619,424.727,5.964,10376,0.607
AgentBrain,0.622,431.458,5.797,10270,0.608
AgentBrain,0.618,438.322,5.959,10245,0.609
AgentBrain,0.617,444.940,5.708,10374,0.610
AgentBrain,0.649,451.727,5.829,10246,0.610
AgentBrain,0.629,458.404,5.732,10241,0.610
AgentBrain,0.629,465.130,5.825,10256,0.611
AgentBrain,0.625,471.957,5.907,10260,0.611
AgentBrain,0.614,478.536,5.667,10330,0.611
AgentBrain,0.594,485.053,5.615,10241,0.612
AgentBrain,0.672,492.247,6.184,10309,0.612
AgentBrain,0.645,498.130,5.001,10346,0.611
AgentBrain,0.669,504.192,5.150,10245,0.610
AgentBrain,0.668,510.510,5.393,10324,0.609
AgentBrain,0.675,516.680,5.245,10267,0.608
AgentBrain,0.657,522.837,5.256,10335,0.607
AgentBrain,0.662,529.141,5.386,10373,0.606
AgentBrain,0.675,535.709,5.632,10295,0.606
AgentBrain,0.665,541.951,5.325,10269,0.605
AgentBrain,0.683,548.379,5.490,10250,0.604
AgentBrain,0.688,554.809,5.485,10271,0.604
AgentBrain,0.752,561.372,5.551,10349,0.603
AgentBrain,0.660,567.742,5.443,10329,0.603
AgentBrain,0.735,574.289,5.547,10364,0.602
AgentBrain,0.653,580.474,5.286,10283,0.601
AgentBrain,0.771,586.941,5.443,10241,0.601
AgentBrain,0.767,593.541,5.568,10288,0.601
AgentBrain,0.699,600.084,5.583,10299,0.600
AgentBrain,1.075,607.679,6.229,10285,0.600
AgentBrain,0.611,615.555,6.950,10255,0.600
AgentBrain,0.654,621.812,5.347,10381,0.599
AgentBrain,0.656,628.117,5.384,10278,0.599
AgentBrain,0.656,634.087,5.070,10245,0.599
AgentBrain,0.613,640.548,5.585,10278,0.599
AgentBrain,0.659,647.199,5.725,10250,0.599
AgentBrain,0.683,653.473,5.332,10289,0.598
AgentBrain,0.775,660.264,5.743,10289,0.598
AgentBrain,0.630,666.704,5.539,10247,0.597
AgentBrain,0.705,674.594,6.877,10276,0.597
