Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,1.289,5.513,3.379,162,-0.695
AgentBrain,1.020,9.468,2.761,161,-0.829
AgentBrain,1.000,13.603,2.971,161,-0.940
AgentBrain,1.017,17.997,3.199,164,-0.892
AgentBrain,1.032,21.961,2.764,161,-0.941
AgentBrain,1.027,26.026,2.888,162,-0.931
AgentBrain,1.013,30.005,2.804,161,-0.902
AgentBrain,1.005,33.875,2.697,162,-0.858
AgentBrain,1.035,37.552,2.494,161,-0.817
AgentBrain,1.013,41.132,2.404,163,-0.780
AgentBrain,1.000,44.665,2.387,162,-0.781
AgentBrain,0.997,47.986,2.194,161,-0.770
AgentBrain,1.005,51.243,2.119,163,-0.759
AgentBrain,0.998,54.801,2.414,162,-0.746
AgentBrain,0.995,58.035,2.111,162,-0.736
AgentBrain,1.002,61.494,2.305,161,-0.727
AgentBrain,1.001,65.067,2.423,161,-0.717
AgentBrain,1.004,68.197,2.005,161,-0.703
AgentBrain,0.998,71.742,2.397,161,-0.697
AgentBrain,1.000,74.978,2.099,161,-0.695
AgentBrain,0.990,78.100,2.016,162,-0.687
AgentBrain,1.006,81.529,2.274,161,-0.681
AgentBrain,0.995,84.691,2.047,161,-0.674
AgentBrain,0.996,88.243,2.406,164,-0.667
AgentBrain,1.001,91.527,2.141,161,-0.661
AgentBrain,1.012,94.613,1.955,161,-0.654
AgentBrain,1.006,97.931,2.182,162,-0.650
AgentBrain,1.011,101.368,2.255,162,-0.640
AgentBrain,1.052,104.567,2.028,161,-0.634
AgentBrain,0.994,107.720,2.039,161,-0.627
AgentBrain,1.001,111.033,2.179,161,-0.621
AgentBrain,0.996,114.456,2.278,161,-0.611
AgentBrain,0.990,117.813,2.226,162,-0.597
AgentBrain,1.004,121.183,2.227,161,-0.589
AgentBrain,1.000,124.352,2.045,161,-0.577
AgentBrain,1.006,127.825,2.322,163,-0.566
AgentBrain,1.007,131.249,2.277,161,-0.553
AgentBrain,0.996,134.788,2.396,161,-0.542
AgentBrain,0.997,138.046,2.135,162,-0.532
AgentBrain,1.001,141.374,2.194,162,-0.519
AgentBrain,0.992,144.714,2.218,161,-0.506
AgentBrain,0.993,148.146,2.293,162,-0.493
AgentBrain,1.013,151.376,2.084,164,-0.480
AgentBrain,1.022,154.697,2.173,161,-0.471
AgentBrain,1.009,158.099,2.255,163,-0.459
AgentBrain,1.026,161.289,2.035,161,-0.448
AgentBrain,1.002,164.494,2.055,161,-0.435
AgentBrain,1.016,167.728,2.081,161,-0.425
AgentBrain,0.996,170.801,1.954,161,-0.417
AgentBrain,1.002,174.039,2.115,161,-0.409
AgentBrain,1.043,177.250,2.046,162,-0.399
AgentBrain,1.015,180.448,2.067,162,-0.388
AgentBrain,1.003,183.734,2.149,161,-0.380
AgentBrain,1.101,187.036,2.094,161,-0.373
AgentBrain,1.003,190.231,2.085,161,-0.365
AgentBrain,1.043,193.692,2.295,161,-0.355
AgentBrain,1.131,197.104,2.149,161,-0.346
AgentBrain,1.017,200.382,2.120,162,-0.337
AgentBrain,0.991,203.516,2.012,162,-0.330
AgentBrain,0.994,206.916,2.269,161,-0.323
AgentBrain,1.009,209.972,1.927,162,-0.315
AgentBrain,1.018,213.364,2.236,161,-0.310
AgentBrain,1.020,216.840,2.317,162,-0.305
AgentBrain,1.014,220.159,2.174,161,-0.299
AgentBrain,1.035,223.572,2.237,161,-0.294
AgentBrain,1.026,227.138,2.384,161,-0.288
AgentBrain,1.033,230.443,2.152,162,-0.284
AgentBrain,1.056,234.033,2.386,161,-0.279
AgentBrain,1.004,237.215,2.055,163,-0.275
AgentBrain,1.034,240.689,2.304,161,-0.268
AgentBrain,1.013,244.189,2.341,163,-0.263
AgentBrain,1.040,247.828,2.448,161,-0.256
AgentBrain,1.018,251.239,2.253,162,-0.252
AgentBrain,0.998,255.113,2.698,163,-0.246
AgentBrain,1.014,258.812,2.527,163,-0.241
AgentBrain,1.009,262.613,2.622,161,-0.236
AgentBrain,1.047,266.078,2.258,161,-0.234
AgentBrain,1.012,269.443,2.215,161,-0.229
AgentBrain,1.004,273.145,2.531,162,-0.224
AgentBrain,1.027,276.822,2.491,161,-0.221
AgentBrain,1.002,280.432,2.451,161,-0.217
AgentBrain,1.053,283.759,2.153,161,-0.214
AgentBrain,1.026,287.432,2.488,161,-0.211
AgentBrain,1.075,291.050,2.408,162,-0.206
AgentBrain,1.103,294.504,2.220,161,-0.200
AgentBrain,1.043,298.094,2.416,162,-0.196
AgentBrain,1.008,301.987,2.742,162,-0.191
AgentBrain,1.017,305.530,2.372,161,-0.189
AgentBrain,1.055,309.323,2.588,162,-0.184
AgentBrain,1.012,312.816,2.334,161,-0.181
AgentBrain,1.009,316.375,2.405,162,-0.178
AgentBrain,1.043,319.957,2.400,161,-0.175
AgentBrain,1.082,323.630,2.451,161,-0.172
AgentBrain,1.048,327.282,2.453,161,-0.170
AgentBrain,1.013,330.803,2.363,162,-0.167
AgentBrain,1.018,334.558,2.587,161,-0.165
AgentBrain,1.079,338.411,2.616,162,-0.162
AgentBrain,0.999,342.048,2.480,162,-0.160
AgentBrain,1.065,345.939,2.636,161,-0.156
AgentBrain,1.017,349.808,2.693,161,-0.152
AgentBrain,1.076,353.556,2.520,162,-0.149
AgentBrain,0.995,357.531,2.812,162,-0.145
AgentBrain,1.024,361.167,2.480,161,-0.142
AgentBrain,1.005,364.903,2.571,161,-0.138
AgentBrain,1.086,368.771,2.617,161,-0.134
AgentBrain,1.047,372.862,2.865,162,-0.128
AgentBrain,1.044,376.857,2.792,162,-0.124
AgentBrain,1.054,380.838,2.755,161,-0.119
AgentBrain,1.054,384.904,2.837,161,-0.115
AgentBrain,1.021,388.983,2.877,161,-0.112
AgentBrain,1.015,392.976,2.806,161,-0.108
AgentBrain,1.002,396.963,2.809,161,-0.105
AgentBrain,1.033,401.074,2.889,161,-0.101
AgentBrain,1.068,405.191,2.859,161,-0.097
AgentBrain,1.025,409.181,2.800,161,-0.092
AgentBrain,1.049,413.282,2.884,162,-0.089
AgentBrain,1.017,417.219,2.769,161,-0.086
AgentBrain,1.040,421.205,2.778,162,-0.082
AgentBrain,1.036,425.177,2.769,162,-0.078
AgentBrain,1.005,429.230,2.881,161,-0.074
AgentBrain,1.021,433.477,3.030,161,-0.070
AgentBrain,1.062,437.570,2.857,161,-0.067
AgentBrain,1.000,441.612,2.837,162,-0.064
AgentBrain,1.005,445.540,2.761,161,-0.060
AgentBrain,1.012,449.358,2.648,162,-0.056
AgentBrain,1.015,453.252,2.721,161,-0.051
AgentBrain,1.000,456.903,2.501,161,-0.048
AgentBrain,0.989,460.527,2.471,161,-0.043
AgentBrain,1.000,464.203,2.523,161,-0.038
AgentBrain,1.001,467.769,2.409,161,-0.034
AgentBrain,0.984,471.413,2.503,162,-0.029
AgentBrain,0.994,474.927,2.370,161,-0.024
AgentBrain,0.994,478.440,2.374,162,-0.020
AgentBrain,1.003,482.196,2.574,162,-0.018
AgentBrain,1.038,485.500,2.136,161,-0.015
AgentBrain,1.039,488.979,2.301,161,-0.011
AgentBrain,1.023,492.363,2.225,161,-0.008
AgentBrain,1.013,495.500,2.000,162,-0.004
AgentBrain,1.005,498.796,2.162,161,-0.001
AgentBrain,1.003,502.255,2.288,161,0.001
AgentBrain,0.997,505.492,2.113,162,0.003
AgentBrain,0.991,508.837,2.215,161,0.006
AgentBrain,1.001,512.082,2.126,161,0.009
AgentBrain,0.992,515.666,2.441,161,0.012
AgentBrain,0.992,519.042,2.247,161,0.014
AgentBrain,0.998,522.283,2.097,161,0.017
AgentBrain,1.018,525.442,2.018,162,0.019
AgentBrain,1.047,528.722,2.120,162,0.021
AgentBrain,1.022,531.928,2.065,161,0.023
AgentBrain,1.031,535.239,2.149,162,0.026
AgentBrain,1.015,538.493,2.103,162,0.028
AgentBrain,0.995,541.830,2.190,161,0.030
AgentBrain,0.994,544.961,2.007,163,0.033
AgentBrain,1.027,548.251,2.123,161,0.035
AgentBrain,1.030,551.469,2.062,161,0.038
AgentBrain,0.988,554.588,2.011,161,0.040
AgentBrain,1.009,557.867,2.135,161,0.043
AgentBrain,1.001,561.062,2.066,162,0.045
AgentBrain,0.979,564.315,2.128,162,0.046
AgentBrain,0.989,567.484,2.060,162,0.048
AgentBrain,0.997,570.807,2.201,162,0.050
AgentBrain,1.024,574.152,2.194,161,0.051
AgentBrain,1.067,577.567,2.219,162,0.053
AgentBrain,1.005,580.840,2.129,162,0.055
AgentBrain,1.000,584.177,2.193,161,0.058
AgentBrain,0.980,587.709,2.402,161,0.061
AgentBrain,0.985,591.141,2.296,162,0.064
AgentBrain,0.986,594.551,2.280,163,0.065
AgentBrain,1.012,597.843,2.152,161,0.068
AgentBrain,0.992,601.341,2.349,161,0.071
AgentBrain,1.004,604.582,2.103,161,0.073
AgentBrain,0.999,608.273,2.538,162,0.076
AgentBrain,0.985,611.828,2.413,161,0.079
AgentBrain,0.985,615.399,2.439,161,0.081
AgentBrain,0.987,618.853,2.320,162,0.084
AgentBrain,0.977,622.311,2.319,161,0.086
AgentBrain,0.993,625.928,2.467,161,0.089
AgentBrain,0.987,629.428,2.365,161,0.091
AgentBrain,0.979,633.026,2.450,161,0.093
AgentBrain,0.976,636.612,2.442,161,0.095
AgentBrain,0.986,639.979,2.242,161,0.097
AgentBrain,1.021,643.640,2.464,161,0.100
AgentBrain,0.992,647.047,2.267,161,0.102
AgentBrain,0.990,650.591,2.392,163,0.104
AgentBrain,0.990,654.233,2.499,161,0.106
AgentBrain,1.002,657.851,2.466,162,0.108
AgentBrain,0.980,661.385,2.378,161,0.110
AgentBrain,0.992,664.703,2.188,161,0.112
AgentBrain,0.995,668.266,2.409,162,0.114
AgentBrain,0.997,671.853,2.428,163,0.115
AgentBrain,0.984,675.416,2.427,162,0.116
AgentBrain,0.994,678.794,2.238,161,0.118
AgentBrain,0.999,682.274,2.310,161,0.119
AgentBrain,0.992,685.817,2.418,162,0.121
AgentBrain,1.003,689.263,2.300,161,0.123
AgentBrain,1.015,692.617,2.205,162,0.124
AgentBrain,1.010,696.181,2.394,162,0.126
AgentBrain,0.992,699.680,2.360,161,0.127
AgentBrain,1.042,703.243,2.369,161,0.129
AgentBrain,0.995,706.889,2.494,161,0.130
AgentBrain,0.988,710.352,2.327,161,0.132
AgentBrain,0.984,713.866,2.383,161,0.134
AgentBrain,0.985,717.332,2.329,161,0.135
AgentBrain,0.988,721.011,2.511,163,0.137
AgentBrain,0.996,724.669,2.502,163,0.139
AgentBrain,1.000,728.339,2.506,162,0.140
AgentBrain,0.993,731.936,2.451,161,0.142
AgentBrain,0.984,735.459,2.401,162,0.143
AgentBrain,0.985,739.234,2.643,161,0.145
AgentBrain,1.001,743.104,2.701,161,0.146
AgentBrain,1.006,746.914,2.627,161,0.148
AgentBrain,0.998,750.738,2.654,161,0.149
AgentBrain,0.993,754.474,2.583,162,0.150
AgentBrain,0.997,758.234,2.587,161,0.152
AgentBrain,0.994,761.833,2.448,162,0.153
